VENDOR_CODE,VENDOR_NAME,P.O.#,SKU #,LINE#,DESCRIPTION,ORDERED_QTY,SHIPPED_QTY,CARTON_COUNT,MASTER_PACK,ORDERED_CBM,SHIPPED_CBM,SHIPPED_KGS,EXP_SAIL_DATE  ,CARGO_RECV_DATE,DEPT#,POL,POL_ATD,POD,POD_ETA,POA,POA_ETA,DC_NO,CARRIER,VESSEL,VOYAGE,CONTAINER,CONTAINER_SIZE,CONTAINER_TYPE,CONTAINER_SEAL,LOAD_DELV_TYPE,BL#,eASN_CREATED_BY,INCO_TERMS
41198,ASIAN AMERICAN PARTNERS,4175219,109210239,1,MAG W FALCON LAKE CONVERTIBLE PANT BEIGE,48,48,2,24,,0.13,23.56,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210247,2,MAG W FALCON LAKE CONVERTIBLE PANT BEIGE,120,120,5,24,,0.33,58.89,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210263,3,MAG W FALCON LAKE CONVERTIBLE PANT BEIGE,168,168,7,24,,0.46,82.45,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210280,4,MAG W FALCON LAKE CONVERTIBLE PANT BEIGE,144,144,6,24,,0.39,70.67,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210301,5,MAG W FALCON LAKE CONVERTIBLE PANT BEIGE,96,96,4,24,,0.26,47.11,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210335,6,MAG W FALCON LAKE CONVERTIBLE PANT BEIGE,48,48,2,24,,0.13,23.56,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210343,7,MAG W FALCON LAKE CONVERTIBLE PANT GREY,48,48,2,24,,0.13,23.56,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210351,8,MAG W FALCON LAKE CONVERTIBLE PANT GREY,120,120,5,24,,0.33,58.89,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210360,9,MAG W FALCON LAKE CONVERTIBLE PANT GREY,168,168,7,24,,0.46,82.45,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210378,10,MAG W FALCON LAKE CONVERTIBLE PANT GREY,144,144,6,24,,0.39,70.67,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210386,11,MAG W FALCON LAKE CONVERTIBLE PANT GREY,96,96,4,24,,0.26,47.11,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,109210394,12,MAG W FALCON LAKE CONVERTIBLE PANT GREY,72,72,3,24,,0.20,35.34,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,111667001,13,MAG W FALCON LAKE CONVERTIBLE PANT BLACK,48,48,2,24,,0.13,23.56,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
41198,ASIAN AMERICAN PARTNERS,4175219,111667019,14,MAG W FALCON LAKE CONVERTIBLE PANT BLACK,96,96,4,24,,0.26,47.11,09/26/2018,09/24/2018,,BDCGP,10/02/2018,USSPQ,11/07/2018,USKTX,11/14/2018,895,APLU,CMA CGM LOIRE,317,GESU6173522,40H,DRY,G0729755,CFS/CY,APLU056449516,,
