VENDOR CODE,VENDOR NAME,P.O.#,SKU #,LINE#,DESCRIPTION,ORDERED QTY,SHIPPED QTY,CARTON COUNT,MASTER PACK,ORDERED CBM,SHIPPED CBM,SHIPPED KGS,EXP SAIL DATE  ,CARGO RECV DATE,DEPT#,POL,POL_ATD,POD,POD_ETA,POA,POA_ETA,DC_NO,CARRIER,VESSEL,VOYAGE,CONTAINER,CONTAINER SIZE,CONTAINER TYPE,CONTAINER SEAL,LOAD - DELV TYPE,BL#,eASN CREATED BY,INCO TERMS
41198,ASIAN AMERICAN PARTNERS,4157255,114537607,1,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,72,72,6,12,,0.17,31.84,06/22/2018,07/04/2018,,BDCGP,07/09/2018,USSAV,08/11/2018,USUAU,08/16/2018,893,CMDU,APL MEXICO CITY,0TU25S1MA,TCNU9258476,40H,DRY,G0604172,CFS/CY,CMDUBAC0122185, ,
41198,ASIAN AMERICAN PARTNERS,4157255,114537615,2,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,96,96,8,12,,0.22,42.45,06/22/2018,07/04/2018,,BDCGP,07/09/2018,USSAV,08/11/2018,USUAU,08/16/2018,893,CMDU,APL MEXICO CITY,0TU25S1MA,TCNU9258476,40H,DRY,G0604172,CFS/CY,CMDUBAC0122185, ,
41198,ASIAN AMERICAN PARTNERS,4157255,114537623,3,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,84,84,7,12,,0.19,37.15,06/22/2018,07/04/2018,,BDCGP,07/09/2018,USSAV,08/11/2018,USUAU,08/16/2018,893,CMDU,APL MEXICO CITY,0TU25S1MA,TCNU9258476,40H,DRY,G0604172,CFS/CY,CMDUBAC0122185, ,
41198,ASIAN AMERICAN PARTNERS,4157255,114537631,4,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,72,72,6,12,,0.16,31.84,06/22/2018,07/04/2018,,BDCGP,07/09/2018,USSAV,08/11/2018,USUAU,08/16/2018,893,CMDU,APL MEXICO CITY,0TU25S1MA,TCNU9258476,40H,DRY,G0604172,CFS/CY,CMDUBAC0122185, ,
41198,ASIAN AMERICAN PARTNERS,4157255,114537640,5,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,36,36,3,12,,0.08,15.92,06/22/2018,07/04/2018,,BDCGP,07/09/2018,USSAV,08/11/2018,USUAU,08/16/2018,893,CMDU,APL MEXICO CITY,0TU25S1MA,TCNU9258476,40H,DRY,G0604172,CFS/CY,CMDUBAC0122185, ,
41198,ASIAN AMERICAN PARTNERS,4157256,114537607,1,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,252,252,21,12,,0.58,111.30,06/22/2018,07/04/2018,,BDCGP,07/11/2018,USHOU,08/21/2018,USKTX,08/23/2018,895,CMDU,CONTI MAKALU,0PG1HE1MA,CMAU7036611,40H,DRY,G0604178,CFS/CY,CMDUBAC0122383, ,
41198,ASIAN AMERICAN PARTNERS,4157256,114537615,2,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,264,264,22,12,,0.60,116.60,06/22/2018,07/04/2018,,BDCGP,07/11/2018,USHOU,08/21/2018,USKTX,08/23/2018,895,CMDU,CONTI MAKALU,0PG1HE1MA,CMAU7036611,40H,DRY,G0604178,CFS/CY,CMDUBAC0122383, ,
41198,ASIAN AMERICAN PARTNERS,4157256,114537623,3,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,252,252,21,12,,0.58,111.30,06/22/2018,07/04/2018,,BDCGP,07/11/2018,USHOU,08/21/2018,USKTX,08/23/2018,895,CMDU,CONTI MAKALU,0PG1HE1MA,CMAU7036611,40H,DRY,G0604178,CFS/CY,CMDUBAC0122383, ,
41198,ASIAN AMERICAN PARTNERS,4157256,114537631,4,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,216,216,18,12,,0.49,95.40,06/22/2018,07/04/2018,,BDCGP,07/11/2018,USHOU,08/21/2018,USKTX,08/23/2018,895,CMDU,CONTI MAKALU,0PG1HE1MA,CMAU7036611,40H,DRY,G0604178,CFS/CY,CMDUBAC0122383, ,
41198,ASIAN AMERICAN PARTNERS,4157256,114537640,5,MAGELLAN WOMENS FAYETTE TANK REAL TREE E,96,96,8,12,,0.22,42.40,06/22/2018,07/04/2018,,BDCGP,07/11/2018,USHOU,08/21/2018,USKTX,08/23/2018,895,CMDU,CONTI MAKALU,0PG1HE1MA,CMAU7036611,40H,DRY,G0604178,CFS/CY,CMDUBAC0122383, ,
